Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover,No. of Trades  
KAYNES,EQ,02-Sep-24,"4,753.80","4,791.80","4,950.00","4,566.00","4,625.00","4,662.65","4,763.21","6,57,515","3,13,18,84,687.90","72,605"
KAYNES,EQ,30-Aug-24,"4,749.95","4,769.00","4,839.45","4,700.00","4,763.00","4,753.80","4,762.77","2,48,130","1,18,17,86,701.60","35,725"
KAYNES,EQ,29-Aug-24,"4,881.60","4,886.00","4,920.00","4,734.10","4,748.00","4,749.95","4,777.70","2,77,831","1,32,73,94,104.95","47,360"
KAYNES,EQ,28-Aug-24,"4,995.50","5,027.60","5,040.00","4,860.00","4,880.00","4,881.60","4,897.08","2,16,970","1,06,25,19,805.70","33,616"
KAYNES,EQ,27-Aug-24,"4,999.50","5,024.90","5,125.00","4,980.05","4,998.00","4,995.50","5,049.62","1,50,121","75,80,53,746.10","25,660"
KAYNES,EQ,26-Aug-24,"5,054.85","5,088.00","5,102.25","4,986.05","5,002.00","4,999.50","5,045.04","2,05,419","1,03,63,46,884.75","31,052"
KAYNES,EQ,23-Aug-24,"5,024.30","5,019.60","5,169.45","4,947.45","5,064.90","5,054.85","5,051.62","2,25,740","1,14,03,52,744.45","38,156"
KAYNES,EQ,22-Aug-24,"5,154.40","5,171.40","5,218.45","4,980.15","5,015.00","5,024.30","5,045.17","1,60,627","81,03,90,785.60","24,369"
KAYNES,EQ,21-Aug-24,"5,198.25","5,222.00","5,266.10","5,130.10","5,177.00","5,154.40","5,191.62","1,29,902","67,44,02,246.35","19,464"
KAYNES,EQ,20-Aug-24,"5,236.15","5,279.00","5,380.00","5,121.00","5,190.00","5,198.25","5,218.49","2,89,724","1,51,19,21,583.55","42,312"
KAYNES,EQ,19-Aug-24,"5,082.20","5,130.60","5,330.00","5,130.60","5,220.00","5,236.15","5,238.68","3,79,998","1,99,06,87,585.40","54,872"
KAYNES,EQ,16-Aug-24,"4,868.80","4,868.80","5,210.00","4,734.00","5,080.00","5,082.20","5,036.69","9,42,607","4,74,76,15,663.90","1,07,169"
KAYNES,EQ,14-Aug-24,"4,702.00","4,690.00","5,036.00","4,503.85","4,828.00","4,868.80","4,799.09","9,65,031","4,63,12,74,375.25","1,20,390"
KAYNES,EQ,13-Aug-24,"4,298.95","4,310.00","4,740.00","4,298.95","4,670.00","4,702.00","4,633.37","8,95,108","4,14,73,63,454.50","1,03,591"
KAYNES,EQ,12-Aug-24,"4,279.15","4,245.00","4,324.55","4,200.75","4,297.00","4,298.95","4,273.18","63,639","27,19,41,000.45","13,635"
KAYNES,EQ,09-Aug-24,"4,278.65","4,334.00","4,349.00","4,260.00","4,265.00","4,279.15","4,300.19","45,003","19,35,21,490.95","9,602"
KAYNES,EQ,08-Aug-24,"4,278.30","4,270.00","4,348.50","4,246.55","4,284.50","4,278.65","4,282.41","85,444","36,59,06,136.05","15,275"
KAYNES,EQ,07-Aug-24,"4,196.70","4,235.00","4,295.00","4,162.90","4,279.80","4,278.30","4,241.89","84,581","35,87,83,253.70","15,203"
KAYNES,EQ,06-Aug-24,"4,252.40","4,350.00","4,364.85","4,105.00","4,170.00","4,196.70","4,221.59","1,81,234","76,50,96,156.60","26,471"
KAYNES,EQ,05-Aug-24,"4,353.40","4,200.00","4,320.00","4,065.00","4,228.00","4,252.40","4,180.96","2,53,986","1,06,19,05,628.10","50,301"
KAYNES,EQ,02-Aug-24,"4,378.20","4,323.00","4,399.00","4,225.35","4,353.00","4,353.40","4,316.42","1,52,873","65,98,63,484.80","23,768"
KAYNES,EQ,01-Aug-24,"4,441.85","4,441.00","4,509.65","4,356.35","4,382.00","4,378.20","4,433.83","1,24,025","54,99,05,452.35","24,423"
KAYNES,EQ,31-Jul-24,"4,524.95","4,524.95","4,549.15","4,405.00","4,451.80","4,441.85","4,453.25","2,41,737","1,07,65,14,707.25","32,572"
KAYNES,EQ,30-Jul-24,"4,594.15","4,600.00","4,605.00","4,483.05","4,520.95","4,524.95","4,533.06","2,99,262","1,35,65,72,018.05","47,408"
KAYNES,EQ,29-Jul-24,"4,249.95","4,495.00","4,729.00","4,350.05","4,595.00","4,594.15","4,581.97","12,98,342","5,94,89,65,187.75","1,44,996"
KAYNES,EQ,26-Jul-24,"4,175.15","4,176.25","4,279.00","4,125.40","4,237.00","4,249.95","4,217.72","1,44,851","61,09,40,691.45","27,618"
KAYNES,EQ,25-Jul-24,"4,101.15","4,060.00","4,197.00","4,056.00","4,146.10","4,175.15","4,155.92","1,15,670","48,07,15,297.75","17,507"
KAYNES,EQ,24-Jul-24,"4,051.05","4,055.00","4,157.85","4,042.55","4,097.00","4,101.15","4,105.80","1,27,859","52,49,63,074.10","19,187"
KAYNES,EQ,23-Jul-24,"3,919.10","3,945.60","4,080.00","3,726.00","4,036.00","4,051.05","3,964.33","2,47,583","98,15,00,266.45","46,399"
KAYNES,EQ,22-Jul-24,"3,901.85","3,851.00","4,037.00","3,816.00","3,941.00","3,919.10","3,937.26","1,74,024","68,51,77,847.55","26,596"
KAYNES,EQ,19-Jul-24,"4,076.60","4,076.60","4,076.60","3,880.00","3,889.00","3,901.85","3,957.29","2,00,834","79,47,58,529.65","33,216"
KAYNES,EQ,18-Jul-24,"4,157.10","4,148.05","4,148.05","4,004.00","4,076.00","4,076.60","4,072.28","2,14,627","87,40,21,523.15","26,679"
KAYNES,EQ,16-Jul-24,"4,047.50","4,069.00","4,297.90","4,068.95","4,155.00","4,157.10","4,203.73","3,50,212","1,47,21,95,282.85","52,798"
KAYNES,EQ,15-Jul-24,"4,142.90","4,160.00","4,175.00","4,025.10","4,074.90","4,047.50","4,078.85","1,58,181","64,51,96,710.15","20,797"
KAYNES,EQ,12-Jul-24,"4,123.40","4,144.00","4,210.00","4,083.50","4,139.00","4,142.90","4,143.75","1,31,620","54,54,00,220.75","20,610"
KAYNES,EQ,11-Jul-24,"4,087.50","4,138.00","4,220.65","4,100.85","4,122.00","4,123.40","4,152.19","1,59,953","66,41,55,209.80","21,875"
KAYNES,EQ,10-Jul-24,"4,152.10","4,194.00","4,248.00","4,063.00","4,120.00","4,087.50","4,141.92","2,89,888","1,20,06,91,966.90","40,821"
KAYNES,EQ,09-Jul-24,"4,334.20","4,370.00","4,434.35","4,130.00","4,159.80","4,152.10","4,218.68","3,18,030","1,34,16,65,808.35","42,785"
KAYNES,EQ,08-Jul-24,"4,238.80","4,340.00","4,574.15","4,251.60","4,338.00","4,334.20","4,382.72","5,25,104","2,30,13,83,007.15","71,514"
KAYNES,EQ,05-Jul-24,"4,008.00","4,006.00","4,443.95","4,001.00","4,260.00","4,238.80","4,253.15","9,02,780","3,83,96,60,961.20","1,11,140"
KAYNES,EQ,04-Jul-24,"3,986.50","4,008.00","4,090.00","3,975.00","4,021.00","4,008.00","4,027.40","1,11,778","45,01,74,622.85","16,336"
KAYNES,EQ,03-Jul-24,"3,962.65","3,990.00","4,108.00","3,955.05","4,005.25","3,986.50","4,035.63","2,19,028","88,39,14,892.20","30,677"
KAYNES,EQ,02-Jul-24,"3,974.05","3,999.00","4,007.95","3,947.35","3,963.50","3,962.65","3,973.48","1,16,509","46,29,45,872.65","12,586"
KAYNES,EQ,01-Jul-24,"3,853.40","3,872.00","4,024.90","3,870.00","3,965.00","3,974.05","3,970.76","1,10,432","43,84,98,693.50","18,134"
KAYNES,EQ,28-Jun-24,"3,887.20","3,915.00","3,985.15","3,815.00","3,852.05","3,853.40","3,859.14","1,44,517","55,77,10,845.75","30,125"
KAYNES,EQ,27-Jun-24,"4,014.75","4,000.00","4,040.95","3,856.40","3,900.00","3,887.20","3,933.83","1,83,131","72,04,06,056.95","24,744"
KAYNES,EQ,26-Jun-24,"4,030.30","4,050.00","4,098.00","3,970.00","4,005.00","4,014.75","4,019.55","1,49,502","60,09,30,066.70","22,316"
KAYNES,EQ,25-Jun-24,"3,887.40","3,924.00","4,072.00","3,831.35","4,007.40","4,030.30","3,952.04","2,44,814","96,75,15,727.25","33,970"
KAYNES,EQ,24-Jun-24,"3,902.75","3,888.05","3,988.10","3,870.05","3,897.00","3,887.40","3,933.20","2,06,151","81,08,32,542.55","24,847"
KAYNES,EQ,21-Jun-24,"3,790.00","3,823.00","3,913.70","3,798.70","3,900.00","3,902.75","3,874.90","1,86,184","72,14,44,642.10","25,848"
KAYNES,EQ,20-Jun-24,"3,859.70","3,888.00","3,888.00","3,746.05","3,792.00","3,790.00","3,801.14","1,80,537","68,62,46,809.10","24,325"
KAYNES,EQ,19-Jun-24,"3,894.45","3,937.50","3,937.50","3,811.00","3,852.00","3,859.70","3,861.84","3,52,937","1,36,29,87,487.65","41,359"
KAYNES,EQ,18-Jun-24,"3,797.85","3,830.00","4,030.00","3,810.05","3,880.10","3,894.45","3,921.00","4,42,154","1,73,36,85,452.50","61,932"
KAYNES,EQ,14-Jun-24,"3,721.35","3,760.00","3,815.85","3,730.35","3,786.70","3,797.85","3,786.64","3,19,605","1,21,02,30,659.30","37,285"
KAYNES,EQ,13-Jun-24,"3,636.15","3,681.80","3,750.00","3,625.00","3,741.75","3,721.35","3,688.16","2,32,940","85,91,18,841.35","27,860"
KAYNES,EQ,12-Jun-24,"3,645.50","3,653.95","3,695.15","3,591.05","3,669.00","3,636.15","3,638.27","3,30,854","1,20,37,36,733.15","41,276"
KAYNES,EQ,11-Jun-24,"3,379.30","3,399.30","3,775.00","3,397.55","3,636.00","3,645.50","3,612.03","10,34,410","3,73,63,19,187.10","1,02,231"
KAYNES,EQ,10-Jun-24,"3,334.25","3,424.90","3,448.70","3,312.05","3,376.10","3,379.30","3,390.07","3,01,196","1,02,10,75,136.15","46,049"
KAYNES,EQ,07-Jun-24,"3,123.65","3,189.00","3,349.95","3,150.65","3,300.05","3,334.25","3,263.52","3,46,802","1,13,17,94,301.10","42,174"
KAYNES,EQ,06-Jun-24,"2,900.50","2,976.75","3,230.00","2,976.00","3,100.00","3,123.65","3,130.30","5,24,880","1,64,30,32,598.05","62,598"
KAYNES,EQ,05-Jun-24,"2,836.80","2,850.00","3,170.00","2,849.95","2,917.00","2,900.50","2,950.33","7,70,474","2,27,31,54,317.10","84,289"
KAYNES,EQ,04-Jun-24,"3,517.50","3,517.50","3,529.00","2,814.00","2,814.00","2,836.80","2,991.04","7,38,367","2,20,84,83,554.90","57,345"
KAYNES,EQ,03-Jun-24,"3,388.80","3,556.30","3,573.90","3,425.45","3,529.00","3,517.50","3,504.33","2,70,254","94,70,58,241.60","43,098"
KAYNES,EQ,31-May-24,"3,301.95","3,301.00","3,430.00","3,205.60","3,360.05","3,388.80","3,356.39","2,64,497","88,77,54,340.55","41,091"
KAYNES,EQ,30-May-24,"3,304.10","3,270.45","3,337.90","3,239.40","3,285.55","3,301.95","3,283.63","1,29,424","42,49,80,067.75","22,509"
KAYNES,EQ,29-May-24,"3,304.90","3,294.90","3,389.50","3,250.00","3,301.00","3,304.10","3,305.37","1,87,280","61,90,28,939.70","26,826"
KAYNES,EQ,28-May-24,"3,345.70","3,372.10","3,446.95","3,274.00","3,302.45","3,304.90","3,327.65","1,76,230","58,64,32,120.20","28,858"
KAYNES,EQ,27-May-24,"3,309.80","3,299.15","3,406.35","3,292.35","3,362.00","3,345.70","3,356.43","1,65,066","55,40,31,802.70","20,925"
KAYNES,EQ,24-May-24,"3,342.50","3,346.20","3,394.00","3,265.40","3,301.00","3,309.80","3,309.78","1,69,029","55,94,49,646.50","24,654"
KAYNES,EQ,23-May-24,"3,461.00","3,464.00","3,464.00","3,328.00","3,345.00","3,342.50","3,390.78","2,21,743","75,18,80,990.50","30,153"
KAYNES,EQ,22-May-24,"3,396.30","3,418.00","3,468.00","3,305.05","3,450.00","3,461.00","3,433.86","3,61,179","1,24,02,38,537.05","41,771"
KAYNES,EQ,21-May-24,"3,234.35","3,420.00","3,643.70","3,238.60","3,370.10","3,396.30","3,389.98","9,80,053","3,32,23,58,071.00","1,03,802"
KAYNES,EQ,18-May-24,"3,080.35","3,130.00","3,234.35","3,120.00","3,234.35","3,234.35","3,205.81","53,208","17,05,74,771.15","3,561"
KAYNES,EQ,17-May-24,"2,567.35","2,950.00","3,080.80","2,816.40","3,080.80","3,080.35","2,963.15","11,73,930","3,47,85,33,643.50","84,992"
KAYNES,EQ,16-May-24,"2,619.00","2,637.95","2,654.00","2,555.00","2,586.95","2,567.35","2,608.83","86,848","22,65,71,765.55","12,147"
KAYNES,EQ,15-May-24,"2,549.85","2,585.00","2,628.85","2,570.00","2,621.00","2,619.00","2,594.69","1,15,652","30,00,80,664.00","11,724"
KAYNES,EQ,14-May-24,"2,465.65","2,484.80","2,573.00","2,455.80","2,560.00","2,549.85","2,529.21","1,61,050","40,73,28,997.20","27,304"
KAYNES,EQ,13-May-24,"2,531.60","2,520.05","2,530.00","2,432.80","2,475.00","2,465.65","2,480.03","2,88,606","71,57,50,159.40","23,505"
KAYNES,EQ,10-May-24,"2,449.75","2,457.00","2,545.00","2,424.05","2,525.95","2,531.60","2,480.86","63,023","15,63,51,078.20","12,013"
KAYNES,EQ,09-May-24,"2,512.20","2,517.00","2,559.00","2,424.00","2,465.00","2,449.75","2,449.78","80,995","19,84,19,927.95","16,116"
KAYNES,EQ,08-May-24,"2,461.00","2,461.00","2,528.00","2,451.45","2,520.00","2,512.20","2,499.68","44,022","11,00,40,695.55","10,479"
KAYNES,EQ,07-May-24,"2,500.45","2,520.00","2,520.00","2,455.00","2,465.00","2,461.00","2,475.78","57,593","14,25,87,826.05","12,205"
KAYNES,EQ,06-May-24,"2,525.45","2,565.00","2,576.00","2,475.00","2,500.00","2,500.45","2,503.52","85,053","21,29,31,854.65","18,561"
KAYNES,EQ,03-May-24,"2,601.85","2,603.15","2,639.90","2,516.55","2,542.20","2,525.45","2,551.74","1,01,847","25,98,87,320.00","12,934"
KAYNES,EQ,02-May-24,"2,664.50","2,664.60","2,709.45","2,590.20","2,600.00","2,601.85","2,634.97","1,27,527","33,60,29,321.15","15,464"
KAYNES,EQ,30-Apr-24,"2,698.95","2,698.95","2,737.95","2,655.00","2,664.95","2,664.50","2,701.07","1,04,884","28,32,99,462.35","14,578"
KAYNES,EQ,29-Apr-24,"2,728.50","2,754.00","2,758.90","2,685.10","2,694.50","2,698.95","2,702.80","86,327","23,33,24,314.00","16,038"
KAYNES,EQ,26-Apr-24,"2,647.25","2,675.00","2,737.00","2,595.00","2,715.00","2,728.50","2,693.76","1,91,419","51,56,36,881.95","20,245"
KAYNES,EQ,25-Apr-24,"2,622.55","2,622.55","2,675.00","2,618.05","2,642.00","2,647.25","2,653.15","58,254","15,45,56,595.30","9,920"
KAYNES,EQ,24-Apr-24,"2,628.45","2,643.00","2,685.00","2,614.80","2,625.00","2,622.55","2,659.67","1,01,633","27,03,10,236.75","12,126"
KAYNES,EQ,23-Apr-24,"2,593.25","2,640.00","2,660.00","2,603.45","2,625.00","2,628.45","2,637.88","1,64,472","43,38,57,386.65","20,486"
KAYNES,EQ,22-Apr-24,"2,631.65","2,680.00","2,683.95","2,585.00","2,593.80","2,593.25","2,624.64","1,15,450","30,30,14,516.10","18,368"
KAYNES,EQ,19-Apr-24,"2,548.80","2,539.95","2,650.00","2,503.10","2,610.00","2,631.65","2,598.50","1,61,720","42,02,28,714.00","17,721"
KAYNES,EQ,18-Apr-24,"2,466.50","2,500.00","2,627.70","2,475.20","2,525.40","2,548.80","2,559.94","2,53,554","64,90,82,939.65","33,593"
KAYNES,EQ,16-Apr-24,"2,457.65","2,448.00","2,524.55","2,430.05","2,475.00","2,466.50","2,487.82","90,046","22,40,18,221.45","19,737"
KAYNES,EQ,15-Apr-24,"2,502.60","2,479.95","2,505.35","2,429.20","2,460.00","2,457.65","2,468.10","1,07,768","26,59,82,304.75","14,971"
KAYNES,EQ,12-Apr-24,"2,546.35","2,555.35","2,559.00","2,490.00","2,508.80","2,502.60","2,522.97","1,73,548","43,78,56,901.00","21,507"
KAYNES,EQ,10-Apr-24,"2,526.70","2,551.95","2,564.60","2,448.00","2,539.00","2,546.35","2,513.03","4,53,528","1,13,97,29,592.70","31,828"
KAYNES,EQ,09-Apr-24,"2,518.45","2,550.00","2,609.00","2,496.05","2,540.00","2,526.70","2,520.48","1,91,408","48,24,40,486.90","37,194"
KAYNES,EQ,08-Apr-24,"2,647.30","2,660.55","2,690.00","2,509.00","2,519.00","2,518.45","2,551.69","2,69,284","68,71,29,037.30","34,600"
